,Name,Language,Bulletin
0,Agartala            ,Bengali,0735      
1,Agartala            ,Bengali,1955      
2,Agartala            ,Kokborok,0740      
3,Agartala            ,Kokborok,1945      
4,Chennai             ,Tamil,0645      
5,Chennai             ,Tamil,1830      
6,Cuttack             ,Odia,0705      
7,Cuttack             ,Odia,1430      
8,Cuttack             ,Odia,1845      
9,Dehradun            ,Hindi,1830      
10,Dharwad             ,Kannada,0705      
11,Dibrugarh           ,Assamese,1800      
12,Gangtok             ,Nepali,1840      
13,Gangtok             ,Lepcha,1845      
14,Gangtok             ,Bhutia,1850      
15,Gorakhpur           ,Hindi,0720      
16,Gorakhpur           ,Hindi,1800      
17,Gorakhpur           ,Bhojpuri,1730      
18,Guwahati            ,Assamese,0850      
19,Guwahati            ,Assamese,1515      
20,Guwahati            ,Assamese,1845      
21,Guwahati            ,Nepali,1515      
22,Guwahati            ,Karbi,1545      
23,Guwahati            ,Bodo,1630      
24,Hyderabad           ,Telugu,1310      
25,Hyderabad           ,Telugu,1815      
26,Hyderabad           ,Urdu,1750      
27,Imphal              ,Manipuri,0730      
28,Imphal              ,Manipuri,1930      
29,Ahmedabad           ,Gujarati,0705      
30,Ahmedabad           ,Gujarati,1430      
31,Ahmedabad           ,Gujarati,1910      
32,Ahmedabad           ,Sindhi,1815      
33,Itanagar            ,Hindi,1645      
34,Itanagar            ,Hindi,1945      
35,Itanagar            ,English,1655      
36,Itanagar            ,English,1950      
37,Jaipur              ,Hindi,0900      
38,Jaipur              ,Hindi,1230      
39,Jaipur              ,Hindi,1830      
40,Jaipur              ,Rajasthani,1850      
41,Jammu               ,Dogri,0920      
42,Jammu               ,Dogri,1230      
43,Jammu               ,Dogri,1815      
44,Jammu               ,Gojri,1015      
45,Jammu               ,Gojri,1700      
46,Kohima              ,Nagamese,0720      
47,Kohima              ,Nagamese,1910      
48,Kohima              ,English,1920      
49,Kohima              ,English,0725      
50,Kolkata             ,Bengali,0735      
51,Kolkata             ,Bengali,1250      
52,Kolkata             ,Bengali,1340      
53,Kolkata             ,Bengali,1950      
54,Kurseong            ,Nepali,1850      
55,Leh                 ,Ladakhi,0905      
56,Leh                 ,Ladakhi,1915      
57,Lucknow             ,Hindi,1920      
58,Lucknow             ,Urdu,1310      
59,Mumbai              ,Marathi,1035      
60,Mumbai              ,Marathi,1500      
61,Mumbai              ,Marathi,1700      
62,Mumbai              ,Marathi,1900      
63,Nagpur              ,Marathi,1845      
64,Aizawl              ,Mizo,0730      
65,Aizawl              ,Mizo,1830      
66,Panaji              ,Konkani,0725      
67,Panaji              ,Konkani,1920      
68,Patna               ,Hindi,0830      
69,Patna               ,Hindi,1930      
70,Patna               ,Maithili,1815-1820 
71,Pudducherry         ,Tamil,1810      
72,Pune                ,Marathi,2041      
73,Pune                ,Marathi,0841-0846 
74,Pune                ,Marathi,1010-SPL  
75,Pune                ,Marathi,0710      
76,Raipur              ,Hindi,1910      
77,Raipur              ,Chhatisgar,1800      
78,Ranchi              ,Hindi,1310      
79,Ranchi              ,Hindi,0830      
80,Ranchi              ,Hindi,1900      
81,Sambalpur           ,Sambalpuri,0647-0652 
82,Sambalpur           ,Sambalpuri,2017      
83,Shillong            ,Khasi,0745      
84,Shillong            ,English,0830      
85,Shillong            ,Garo,1805      
86,Shillong            ,Jaintia,1840      
87,Shimla              ,Hindi,0915      
88,Shimla              ,Hindi,1800      
89,Shimla              ,Hindi,1945      
90,Silchar             ,Bengali,0735      
91,Silchar             ,Bengali,1955      
92,Aurangabad          ,Marathi,0710      
93,Aurangabad          ,Marathi,1300      
94,Aurangabad          ,Marathi,1800      
95,Aurangabad          ,Urdu,0840      
96,Srinagar            ,Kashmiri,0920      
97,Srinagar            ,Kashmiri,1235      
98,Srinagar            ,Kashmiri,1930      
99,Srinagar            ,Urdu,0925      
100,Srinagar            ,Urdu,1230      
101,Srinagar            ,Urdu,1940      
102,Srinagar            ,Pahari,1620      
103,Srinagar            ,Gojri,1750      
104,Srinagar            ,Balti,1920      
105,Tiruchirapalli      ,Tamil,1345      
106,Tpuram              ,Malayalam,1230      
107,Tpuram              ,Malayalam,1820      
108,Vijayawada          ,Telugu,0645      
109,Vijayawada          ,Telugu,1320      
110,Visakhapatnam       ,Telugu,1815      
111,Bangalore           ,Kannada,1430      
112,Bangalore           ,Kannada,1840      
113,Bhopal              ,Hindi,0705      
114,Bhopal              ,Hindi,1430      
115,Bhopal              ,Hindi,1910      
116,Portblair           ,Hindi,0705      
117,Portblair           ,Hindi,1850      
118,Kargil              ,Purgi,1815-1820 
119,Kargil              ,Purgi,1725      
120,Kargil              ,Purgi,1930      
121,Bhuj                ,Gujarati,0650      
122,Bhuj                ,Gujarati,1825      
123,Calicut             ,Malayalam,0645      
124,Calicut             ,Malayalam,1230      
125,Chandigarh          ,Hindi,1810      
126,Chandigarh          ,Punjabi,1820      
