,Name,Language,Bulletin,From,To,Enable
0,Agartala            ,Bengali,735,07/05/2019,07/07/2019,1
1,Agartala            ,Bengali,1955,07/05/2019,08/20/2019,0
2,Agartala            ,Kokborok,740,07/05/2019,08/20/2019,0
3,Agartala            ,Kokborok,1945,07/05/2019,08/20/2019,0
4,Chennai             ,Tamil,645,07/05/2019,,0
5,Chennai             ,Tamil,1830,07/05/2019,,0
6,Cuttack             ,Odia,705,07/05/2019,,0
7,Cuttack             ,Odia,1430,07/05/2019,,0
8,Cuttack             ,Odia,1845,07/05/2019,,0
9,Dehradun            ,Hindi,1830,07/05/2019,,0
10,Dharwad             ,Kannada,705,07/05/2019,,0
11,Dibrugarh           ,Assamese,1800,07/05/2019,,0
12,Gangtok             ,Nepali,1840,07/05/2019,,0
13,Gangtok             ,Lepcha,1845,07/05/2019,,0
14,Gangtok             ,Bhutia,1850,07/05/2019,,0
15,Gorakhpur           ,Hindi,720,07/05/2019,,0
16,Gorakhpur           ,Hindi,1800,07/05/2019,,0
17,Gorakhpur           ,Bhojpuri,1730,07/05/2019,,0
18,Guwahati            ,Assamese,850,07/05/2019,,0
19,Guwahati            ,Assamese,1515,07/05/2019,,0
20,Guwahati            ,Assamese,1845,07/05/2019,,0
21,Guwahati            ,Nepali,1515,07/05/2019,,0
22,Guwahati            ,Karbi,1545,07/05/2019,,0
23,Guwahati            ,Bodo,1630,,,0
24,Hyderabad           ,Telugu,1310,,,0
25,Hyderabad           ,Telugu,1815,,,0
26,Hyderabad           ,Urdu,1750,,,0
27,Imphal              ,Manipuri,730,,,0
28,Imphal              ,Manipuri,1930,,,0
29,Ahmedabad           ,Gujarati,705,,,0
30,Ahmedabad           ,Gujarati,1430,,,0
31,Ahmedabad           ,Gujarati,1910,,,0
32,Ahmedabad           ,Sindhi,1815,,,0
33,Itanagar            ,Hindi,1645,,,0
34,Itanagar            ,Hindi,1945,,,0
35,Itanagar            ,English,1655,,,0
36,Itanagar            ,English,1950,,,0
37,Jaipur              ,Hindi,900,,,0
38,Jaipur              ,Hindi,1230,,,0
39,Jaipur              ,Hindi,1830,,,0
40,Jaipur              ,Rajasthani,1850,,,0
41,Jammu               ,Dogri,920,,,0
42,Jammu               ,Dogri,1230,,,0
43,Jammu               ,Dogri,1815,,,0
44,Jammu               ,Gojri,1015,,,0
45,Jammu               ,Gojri,1700,,,0
46,Kohima              ,Nagamese,720,,,0
47,Kohima              ,Nagamese,1910,,,0
48,Kohima              ,English,1920,,,0
49,Kohima              ,English,725,,,0
50,Kolkata             ,Bengali,735,,,0
51,Kolkata             ,Bengali,1250,,,0
52,Kolkata             ,Bengali,1340,,,0
53,Kolkata             ,Bengali,1950,,,0
54,Kurseong            ,Nepali,1850,,,0
55,Leh                 ,Ladakhi,905,,,0
56,Leh                 ,Ladakhi,1915,,,0
57,Lucknow             ,Hindi,1920,,,0
58,Lucknow             ,Urdu,1310,,,0
59,Mumbai              ,Marathi,1035,,,0
